,act_fun,batch_size,dropout_frac,n_epochs,neuron_layers,optimizer,patience,tol,weight_decay,F1,Acc
2,<function selu at 0x7f99fa88b240>,256,0.5,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9811083123425692,0.9632802937576499
27,<function selu at 0x7f99fa88b240>,128,0.55,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9810606060606061,0.9632802937576499
43,<function selu at 0x7f99fa88b240>,64,0.55,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.980466288594833,0.9620563035495716
1,<function selu at 0x7f99fa88b240>,256,0.5,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9804416403785489,0.9620563035495716
11,<function selu at 0x7f99fa88b240>,256,0.55,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9804416403785489,0.9620563035495716
18,<function selu at 0x7f99fa88b240>,128,0.5,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9804169298799748,0.9620563035495716
44,<function selu at 0x7f99fa88b240>,64,0.55,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9804169298799748,0.9620563035495716
28,<function selu at 0x7f99fa88b240>,128,0.55,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9804169298799748,0.9620563035495716
29,<function selu at 0x7f99fa88b240>,128,0.55,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9803424223208624,0.9620563035495716
19,<function selu at 0x7f99fa88b240>,128,0.5,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9803424223208624,0.9620563035495716
45,<function selu at 0x7f99fa88b240>,64,0.55,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9803174603174604,0.9620563035495716
20,<function selu at 0x7f99fa88b240>,128,0.5,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9802924348378894,0.9620563035495716
4,<function selu at 0x7f99fa88b240>,256,0.5,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.979746835443038,0.9608323133414932
0,<function selu at 0x7f99fa88b240>,256,0.5,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9793362554790231,0.9596083231334149
10,<function selu at 0x7f99fa88b240>,256,0.55,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9793362554790231,0.9596083231334149
42,<function selu at 0x7f99fa88b240>,64,0.55,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9792583280955374,0.9596083231334149
3,<function selu at 0x7f99fa88b240>,256,0.5,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9790209790209791,0.9596083231334149
36,<function selu at 0x7f99fa88b240>,64,0.5,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9789674952198852,0.9596083231334149
25,<function selu at 0x7f99fa88b240>,128,0.55,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9786967418546366,0.9583843329253366
53,<function selu at 0x7f99fa88b240>,64,0.6,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9786432160804021,0.9583843329253366
9,<function selu at 0x7f99fa88b240>,256,0.55,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9786432160804021,0.9583843329253366
26,<function selu at 0x7f99fa88b240>,128,0.55,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9786432160804021,0.9583843329253366
15,<function selu at 0x7f99fa88b240>,256,0.6,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9781113195747342,0.9571603427172583
35,<function selu at 0x7f99fa88b240>,128,0.6,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9781113195747342,0.9571603427172583
6,<function selu at 0x7f99fa88b240>,256,0.55,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9781113195747342,0.9571603427172583
32,<function selu at 0x7f99fa88b240>,128,0.6,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9781113195747342,0.9571603427172583
48,<function selu at 0x7f99fa88b240>,64,0.6,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9781113195747342,0.9571603427172583
49,<function selu at 0x7f99fa88b240>,64,0.6,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9781113195747342,0.9571603427172583
50,<function selu at 0x7f99fa88b240>,64,0.6,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9781113195747342,0.9571603427172583
51,<function selu at 0x7f99fa88b240>,64,0.6,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9781113195747342,0.9571603427172583
33,<function selu at 0x7f99fa88b240>,128,0.6,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9781113195747342,0.9571603427172583
14,<function selu at 0x7f99fa88b240>,256,0.6,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9781113195747342,0.9571603427172583
31,<function selu at 0x7f99fa88b240>,128,0.6,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9781113195747342,0.9571603427172583
30,<function selu at 0x7f99fa88b240>,128,0.6,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9781113195747342,0.9571603427172583
16,<function selu at 0x7f99fa88b240>,256,0.6,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9781113195747342,0.9571603427172583
17,<function selu at 0x7f99fa88b240>,256,0.6,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9781113195747342,0.9571603427172583
13,<function selu at 0x7f99fa88b240>,256,0.6,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9781113195747342,0.9571603427172583
12,<function selu at 0x7f99fa88b240>,256,0.6,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9781113195747342,0.9571603427172583
34,<function selu at 0x7f99fa88b240>,128,0.6,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9781113195747342,0.9571603427172583
24,<function selu at 0x7f99fa88b240>,128,0.55,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9781113195747342,0.9571603427172583
8,<function selu at 0x7f99fa88b240>,256,0.55,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9781113195747342,0.9571603427172583
7,<function selu at 0x7f99fa88b240>,256,0.55,150,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9781113195747342,0.9571603427172583
46,<function selu at 0x7f99fa88b240>,64,0.55,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9776357827476039,0.9571603427172583
52,<function selu at 0x7f99fa88b240>,64,0.6,250,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9774153074027604,0.95593635250918
