,act_fun,batch_size,dropout_frac,lr,n_epochs,neuron_layers,optimizer,patience,tol,weight_decay,F1,Acc
226,<function selu at 0x7f0851e9d800>,256,0.6,0.0001,400,"[4096, 2048, 1024, 512, 256, 128, 64, 32, 16, 8]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9817724701445631,0.9645042839657283
242,<function selu at 0x7f0851e9d800>,256,0.6,0.001,200,"[4096, 2048, 1024, 512, 256, 128, 64, 32, 16, 8]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9817724701445631,0.9645042839657283
219,<function selu at 0x7f0851e9d800>,256,0.6,0.0001,200,"[4096, 2048, 1024, 512, 256, 128, 64, 32, 16, 8]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9817724701445631,0.9645042839657283
147,<function selu at 0x7f0851e9d800>,256,0.4,0.0001,200,"[4096, 2048, 1024, 512, 256, 128, 64, 32, 16, 8]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9817724701445631,0.9645042839657283
193,<function selu at 0x7f0851e9d800>,256,0.4,1e-05,200,"[4096, 2048, 2048, 512, 128]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9811557788944724,0.9632802937576499
387,<function selu at 0x7f0851e9d800>,128,0.2,0.001,200,"[4096, 2048, 1024, 512, 256, 128, 64, 32, 16, 8]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9810366624525917,0.9632802937576499
514,<function selu at 0x7f0851e9d800>,128,0.6,0.0001,400,"[4096, 2048, 1024, 512, 256, 128, 64, 32, 16, 8]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9810366624525917,0.9632802937576499
273,<function selu at 0x7f0851e9d800>,256,0.6,1e-05,400,"[4096, 2048, 2048, 512, 128]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9805153991200503,0.9620563035495716
2,<function selu at 0x7f0851e9d800>,256,0.0,0.0001,200,"[4096, 2048, 1024, 512, 256, 128, 64, 32, 16, 8]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9805153991200503,0.9620563035495716
222,<function selu at 0x7f0851e9d800>,256,0.6,0.0001,200,[5000],<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9799247176913425,0.9608323133414932
150,<function selu at 0x7f0851e9d800>,256,0.4,0.0001,200,[5000],<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9799247176913425,0.9608323133414932
6,<function selu at 0x7f0851e9d800>,256,0.0,0.0001,200,[5000],<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9799247176913425,0.9608323133414932
78,<function selu at 0x7f0851e9d800>,256,0.2,0.0001,200,[5000],<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9799247176913425,0.9608323133414932
276,<function selu at 0x7f0851e9d800>,256,0.6,1e-05,400,"[7500, 2500]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9799247176913425,0.9608323133414932
74,<function selu at 0x7f0851e9d800>,256,0.2,0.0001,200,"[4096, 2048, 1024, 512, 256, 128, 64, 32, 16, 8]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9798994974874372,0.9608323133414932
99,<function selu at 0x7f0851e9d800>,256,0.2,0.001,200,"[4096, 2048, 1024, 512, 256, 128, 64, 32, 16, 8]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9798994974874372,0.9608323133414932
408,<function selu at 0x7f0851e9d800>,128,0.2,1e-05,200,"[4096, 2048, 2048, 512, 128]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9798488664987406,0.9608323133414932
515,<function selu at 0x7f0851e9d800>,128,0.6,0.0001,400,"[4096, 2048, 1024, 512, 256, 128, 64, 32, 16, 8]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9797724399494311,0.9608323133414932
434,<function selu at 0x7f0851e9d800>,128,0.4,0.0001,200,"[4096, 2048, 1024, 512, 256, 128, 64, 32, 16, 8]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9797724399494311,0.9608323133414932
488,<function selu at 0x7f0851e9d800>,128,0.4,1e-05,400,"[4096, 2048, 2048, 512, 128]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.979746835443038,0.9608323133414932
57,<function selu at 0x7f0851e9d800>,256,0.0,1e-05,400,"[4096, 2048, 2048, 512, 128]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9796954314720813,0.9608323133414932
136,<function selu at 0x7f0851e9d800>,256,0.2,1e-05,600,"[4096, 2048, 2048, 512, 128]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9796954314720813,0.9608323133414932
237,<function selu at 0x7f0851e9d800>,256,0.6,0.0001,600,"[7500, 2500]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9796954314720813,0.9608323133414932
216,<function selu at 0x7f0851e9d800>,256,0.6,0.0001,200,"[4096, 2048, 2048, 512, 128]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9796696315120712,0.9608323133414932
85,<function selu at 0x7f0851e9d800>,256,0.2,0.0001,400,"[7500, 2500]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9793103448275862,0.9596083231334149
53,<function selu at 0x7f0851e9d800>,256,0.0,1e-05,200,"[7500, 2500]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9793103448275862,0.9596083231334149
431,<function selu at 0x7f0851e9d800>,128,0.2,1e-05,600,[5000],<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9793103448275862,0.9596083231334149
272,<function selu at 0x7f0851e9d800>,256,0.6,1e-05,400,"[4096, 2048, 2048, 512, 128]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9793103448275862,0.9596083231334149
157,<function selu at 0x7f0851e9d800>,256,0.4,0.0001,400,"[7500, 2500]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9793103448275862,0.9596083231334149
503,<function selu at 0x7f0851e9d800>,128,0.4,1e-05,600,[5000],<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9793103448275862,0.9596083231334149
120,<function selu at 0x7f0851e9d800>,256,0.2,1e-05,200,"[4096, 2048, 2048, 512, 128]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9793103448275862,0.9596083231334149
48,<function selu at 0x7f0851e9d800>,256,0.0,1e-05,200,"[4096, 2048, 2048, 512, 128]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9793103448275862,0.9596083231334149
229,<function selu at 0x7f0851e9d800>,256,0.6,0.0001,400,"[7500, 2500]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9793103448275862,0.9596083231334149
125,<function selu at 0x7f0851e9d800>,256,0.2,1e-05,200,"[7500, 2500]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9793103448275862,0.9596083231334149
575,<function selu at 0x7f0851e9d800>,128,0.6,1e-05,600,[5000],<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9793103448275862,0.9596083231334149
359,<function selu at 0x7f0851e9d800>,128,0.0,1e-05,600,[5000],<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9793103448275862,0.9596083231334149
13,<function selu at 0x7f0851e9d800>,256,0.0,0.0001,400,"[7500, 2500]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9793103448275862,0.9596083231334149
181,<function selu at 0x7f0851e9d800>,256,0.4,0.001,400,"[7500, 2500]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9792583280955374,0.9596083231334149
561,<function selu at 0x7f0851e9d800>,128,0.6,1e-05,400,"[4096, 2048, 2048, 512, 128]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9792060491493384,0.9596083231334149
481,<function selu at 0x7f0851e9d800>,128,0.4,1e-05,200,"[4096, 2048, 2048, 512, 128]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9792060491493384,0.9596083231334149
572,<function selu at 0x7f0851e9d800>,128,0.6,1e-05,600,"[7500, 2500]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9791535060012634,0.9596083231334149
231,<function selu at 0x7f0851e9d800>,256,0.6,0.0001,400,[5000],<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9791271347248577,0.9596083231334149
159,<function selu at 0x7f0851e9d800>,256,0.4,0.0001,400,[5000],<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9791271347248577,0.9596083231334149
87,<function selu at 0x7f0851e9d800>,256,0.2,0.0001,400,[5000],<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9791271347248577,0.9596083231334149
15,<function selu at 0x7f0851e9d800>,256,0.0,0.0001,400,[5000],<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9791271347248577,0.9596083231334149
263,<function selu at 0x7f0851e9d800>,256,0.6,0.001,600,[5000],<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9791006966434452,0.9596083231334149
119,<function selu at 0x7f0851e9d800>,256,0.2,0.001,600,[5000],<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9791006966434452,0.9596083231334149
191,<function selu at 0x7f0851e9d800>,256,0.4,0.001,600,[5000],<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9791006966434452,0.9596083231334149
47,<function selu at 0x7f0851e9d800>,256,0.0,0.001,600,[5000],<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9791006966434452,0.9596083231334149
137,<function selu at 0x7f0851e9d800>,256,0.2,1e-05,600,"[4096, 2048, 2048, 512, 128]",<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9790209790209791,0.9596083231334149
383,<function selu at 0x7f0851e9d800>,128,0.2,0.0001,600,[5000],<class 'torch.optim.rmsprop.RMSprop'>,75,1e-05,0.0001,0.9790209790209791,0.9596083231334149
