,act_fun,batch_size,dropout_frac,lr,n_epochs,neuron_layers,optimizer,patience,tol,weight_decay,F1,Acc,MCC
0,<function selu at 0x7f91431e4ae0>,256,0.0,0.001,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9675745784695201,0.9381953028430161,0.31903114598250704
1,<function selu at 0x7f91431e4ae0>,256,0.0,0.001,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9675745784695201,0.9381953028430161,0.31903114598250704
2,<function selu at 0x7f91431e4ae0>,256,0.0,0.001,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9811083123425692,0.9629171817058096,0.0
3,<function selu at 0x7f91431e4ae0>,256,0.0,0.001,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9811083123425692,0.9629171817058096,0.0
4,<function selu at 0x7f91431e4ae0>,256,0.0,0.001,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.979565772669221,0.9604449938195303,0.3693692613899826
5,<function selu at 0x7f91431e4ae0>,256,0.0,0.001,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.979565772669221,0.9604449938195303,0.3693692613899826
6,<function selu at 0x7f91431e4ae0>,256,0.0,0.001,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9768934531450578,0.9555006180469716,0.3768934531450578
7,<function selu at 0x7f91431e4ae0>,256,0.0,0.001,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9768934531450578,0.9555006180469716,0.3768934531450578
8,<function selu at 0x7f91431e4ae0>,256,0.0,0.0001,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9453333333333334,0.8986402966625463,0.3096070154292293
9,<function selu at 0x7f91431e4ae0>,256,0.0,0.0001,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9453333333333334,0.8986402966625463,0.3096070154292293
10,<function selu at 0x7f91431e4ae0>,256,0.0,0.0001,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9621903520208605,0.9283065512978986,0.28823311723206607
11,<function selu at 0x7f91431e4ae0>,256,0.0,0.0001,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9621903520208605,0.9283065512978986,0.28823311723206607
12,<function selu at 0x7f91431e4ae0>,256,0.0,0.0001,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.961463096015676,0.927070457354759,0.30382167263061133
13,<function selu at 0x7f91431e4ae0>,256,0.0,0.0001,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.961463096015676,0.927070457354759,0.30382167263061133
14,<function selu at 0x7f91431e4ae0>,256,0.0,0.0001,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9426666666666667,0.8936959208899876,0.26758854948689637
15,<function selu at 0x7f91431e4ae0>,256,0.0,0.0001,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9426666666666667,0.8936959208899876,0.26758854948689637
16,<function selu at 0x7f91431e4ae0>,256,0.0,1e-05,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9509933774834437,0.9085290482076638,0.3126543469708411
17,<function selu at 0x7f91431e4ae0>,256,0.0,1e-05,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9509933774834437,0.9085290482076638,0.3126543469708411
18,<function selu at 0x7f91431e4ae0>,256,0.0,1e-05,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.973462783171521,0.9493201483312732,0.42004618528736554
19,<function selu at 0x7f91431e4ae0>,256,0.0,1e-05,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.973462783171521,0.9493201483312732,0.42004618528736554
20,<function selu at 0x7f91431e4ae0>,256,0.0,1e-05,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9667318982387475,0.9369592088998764,0.3887735044735768
21,<function selu at 0x7f91431e4ae0>,256,0.0,1e-05,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9667318982387475,0.9369592088998764,0.3887735044735768
22,<function selu at 0x7f91431e4ae0>,256,0.0,1e-05,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9674054758800521,0.9381953028430161,0.3930687210718959
23,<function selu at 0x7f91431e4ae0>,256,0.0,1e-05,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9674054758800521,0.9381953028430161,0.3930687210718959
24,<function selu at 0x7f91431e4ae0>,256,0.15,0.001,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9811083123425692,0.9629171817058096,0.0
25,<function selu at 0x7f91431e4ae0>,256,0.15,0.001,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9811083123425692,0.9629171817058096,0.0
26,<function selu at 0x7f91431e4ae0>,256,0.15,0.001,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9811083123425692,0.9629171817058096,0.0
27,<function selu at 0x7f91431e4ae0>,256,0.15,0.001,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9811083123425692,0.9629171817058096,0.0
28,<function selu at 0x7f91431e4ae0>,256,0.15,0.001,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9775497113534317,0.9567367119901112,0.38439554059192504
29,<function selu at 0x7f91431e4ae0>,256,0.15,0.001,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9775497113534317,0.9567367119901112,0.38439554059192504
30,<function selu at 0x7f91431e4ae0>,256,0.15,0.001,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9821428571428571,0.965389369592089,0.4321583502625548
31,<function selu at 0x7f91431e4ae0>,256,0.15,0.001,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9821428571428571,0.965389369592089,0.4321583502625548
32,<function selu at 0x7f91431e4ae0>,256,0.15,0.0001,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9432955303535691,0.8949320148331273,0.2863958532540799
33,<function selu at 0x7f91431e4ae0>,256,0.15,0.0001,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9432955303535691,0.8949320148331273,0.2863958532540799
34,<function selu at 0x7f91431e4ae0>,256,0.15,0.0001,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9627207325049052,0.9295426452410384,0.3474742876929361
