,act_fun,batch_size,dropout_frac,lr,n_epochs,neuron_layers,optimizer,patience,tol,weight_decay,F1,Acc
371,<function selu at 0x7f5bf5c0bba0>,128,0.8,0.0001,250,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.53125,0.8148148148148148
370,<function selu at 0x7f5bf5c0bba0>,128,0.8,0.0001,250,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.53125,0.8148148148148148
364,<function selu at 0x7f5bf5c0bba0>,128,0.8,0.0001,200,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.5230769230769231,0.808641975308642
548,<function selu at 0x7f5bf5c0bba0>,64,0.75,0.001,350,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.5230769230769231,0.808641975308642
549,<function selu at 0x7f5bf5c0bba0>,64,0.75,0.001,350,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.5230769230769231,0.808641975308642
365,<function selu at 0x7f5bf5c0bba0>,128,0.8,0.0001,200,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.5230769230769231,0.808641975308642
62,<function selu at 0x7f5bf5c0bba0>,256,0.7,0.01,300,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.5151515151515151,0.8024691358024691
369,<function selu at 0x7f5bf5c0bba0>,128,0.8,0.0001,250,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.5151515151515151,0.8024691358024691
368,<function selu at 0x7f5bf5c0bba0>,128,0.8,0.0001,250,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.5151515151515151,0.8024691358024691
75,<function selu at 0x7f5bf5c0bba0>,256,0.75,0.0001,200,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.5151515151515151,0.8024691358024691
74,<function selu at 0x7f5bf5c0bba0>,256,0.75,0.0001,200,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.5151515151515151,0.8024691358024691
63,<function selu at 0x7f5bf5c0bba0>,256,0.7,0.01,300,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.5151515151515151,0.8024691358024691
126,<function selu at 0x7f5bf5c0bba0>,256,0.75,0.01,250,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.5142857142857142,0.7901234567901234
127,<function selu at 0x7f5bf5c0bba0>,256,0.75,0.01,250,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.5142857142857142,0.7901234567901234
376,<function selu at 0x7f5bf5c0bba0>,128,0.8,0.0001,300,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.5079365079365079,0.808641975308642
377,<function selu at 0x7f5bf5c0bba0>,128,0.8,0.0001,300,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.5079365079365079,0.808641975308642
