,act_fun,batch_size,dropout_frac,n_epochs,neuron_layers,optimizer,patience,tol,weight_decay,F1,Acc
20,<function selu at 0x7f67334294e0>,256,0.5,300,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.40189125295508277,0.9688959921317924
25,<function selu at 0x7f67334294e0>,256,0.5,400,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.4018058690744921,0.9674207032210475
0,<function selu at 0x7f67334294e0>,256,0.4,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.3971631205673759,0.9686501106466683
5,<function selu at 0x7f67334294e0>,256,0.4,300,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.3963963963963964,0.9670518809933611
14,<function selu at 0x7f67334294e0>,256,0.4,400,[2048],<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.3949367088607595,0.9706171625276616
29,<function selu at 0x7f67334294e0>,256,0.5,400,[2048],<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.3949367088607595,0.9706171625276616
44,<function selu at 0x7f67334294e0>,256,0.6,400,[2048],<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.3949367088607595,0.9706171625276616
34,<function selu at 0x7f67334294e0>,256,0.6,200,[2048],<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.3931203931203931,0.969633636587165
4,<function selu at 0x7f67334294e0>,256,0.4,200,[2048],<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.3931203931203931,0.969633636587165
19,<function selu at 0x7f67334294e0>,256,0.5,200,[2048],<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.3931203931203931,0.969633636587165
15,<function selu at 0x7f67334294e0>,256,0.5,200,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.39276485788113696,0.9711089254979101
24,<function selu at 0x7f67334294e0>,256,0.5,300,[2048],<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.38974358974358975,0.9707401032702238
39,<function selu at 0x7f67334294e0>,256,0.6,300,[2048],<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.38974358974358975,0.9707401032702238
9,<function selu at 0x7f67334294e0>,256,0.4,300,[2048],<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.38974358974358975,0.9707401032702238
40,<function selu at 0x7f67334294e0>,256,0.6,400,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.38242894056847543,0.9706171625276616
31,<function selu at 0x7f67334294e0>,256,0.6,200,"[4096, 2048]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.3574468085106383,0.9628718957462503
10,<function selu at 0x7f67334294e0>,256,0.4,400,"[1024, 512, 256, 128, 64, 32, 16, 8, 4]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.35714285714285715,0.962380132776002
