,act_fun,batch_size,dropout_frac,n_epochs,neuron_layers,optimizer,patience,tol,weight_decay,F1,Acc
11,<function selu at 0x7ffb5a5c7420>,256,0.45,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8501581823410986,0.8181500872600349
24,<function selu at 0x7ffb5a5c7420>,128,0.45,300,"[4096, 2048]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8494407800401491,0.8167539267015707
8,<function selu at 0x7ffb5a5c7420>,256,0.45,450,"[4096, 2048]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.849197247706422,0.8164048865619546
3,<function selu at 0x7ffb5a5c7420>,256,0.35,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8491812697500718,0.8167539267015707
15,<function selu at 0x7ffb5a5c7420>,256,0.4,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8491812697500718,0.8167539267015707
5,<function selu at 0x7ffb5a5c7420>,256,0.35,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8488338612150879,0.8167539267015707
30,<function selu at 0x7ffb5a5c7420>,128,0.4,300,"[4096, 2048]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8487972508591065,0.8157068062827225
9,<function selu at 0x7ffb5a5c7420>,256,0.45,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8486936548952053,0.8160558464223385
17,<function selu at 0x7ffb5a5c7420>,256,0.4,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8484149855907781,0.8164048865619546
0,<function selu at 0x7ffb5a5c7420>,256,0.35,300,"[4096, 2048]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8483630097645032,0.8157068062827225
20,<function selu at 0x7ffb5a5c7420>,128,0.35,450,"[4096, 2048]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8483453237410072,0.8160558464223385
14,<function selu at 0x7ffb5a5c7420>,256,0.4,450,"[4096, 2048]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.848206599713056,0.8153577661431065
13,<function selu at 0x7ffb5a5c7420>,256,0.4,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.848188614146061,0.8157068062827225
25,<function selu at 0x7ffb5a5c7420>,128,0.45,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8481012658227848,0.8157068062827225
7,<function selu at 0x7ffb5a5c7420>,256,0.45,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8481012658227848,0.8157068062827225
1,<function selu at 0x7ffb5a5c7420>,256,0.35,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8481012658227848,0.8157068062827225
18,<function selu at 0x7ffb5a5c7420>,128,0.35,300,"[4096, 2048]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8479816776409963,0.8146596858638744
32,<function selu at 0x7ffb5a5c7420>,128,0.4,450,"[4096, 2048]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8477697841726619,0.8153577661431065
16,<function selu at 0x7ffb5a5c7420>,256,0.4,350,"[4096, 2048]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.847720103240608,0.8146596858638744
2,<function selu at 0x7ffb5a5c7420>,256,0.35,450,"[4096, 2048]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8476327116212339,0.8146596858638744
31,<function selu at 0x7ffb5a5c7420>,128,0.4,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8475258918296893,0.8150087260034904
29,<function selu at 0x7ffb5a5c7420>,128,0.45,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8473699338890486,0.8146596858638744
19,<function selu at 0x7ffb5a5c7420>,128,0.35,300,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8472821397756687,0.8146596858638744
33,<function selu at 0x7ffb5a5c7420>,128,0.4,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8472622478386167,0.8150087260034904
10,<function selu at 0x7ffb5a5c7420>,256,0.45,350,"[4096, 2048]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8472142446869615,0.8143106457242583
26,<function selu at 0x7ffb5a5c7420>,128,0.45,450,"[4096, 2048]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8471942446043166,0.8146596858638744
4,<function selu at 0x7ffb5a5c7420>,256,0.35,350,"[4096, 2048]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8471465443074276,0.8139616055846423
23,<function selu at 0x7ffb5a5c7420>,128,0.35,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8470385278895918,0.8143106457242583
22,<function selu at 0x7ffb5a5c7420>,128,0.35,350,"[4096, 2048]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8470385278895918,0.8143106457242583
35,<function selu at 0x7ffb5a5c7420>,128,0.4,350,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8470385278895918,0.8143106457242583
27,<function selu at 0x7ffb5a5c7420>,128,0.45,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8470181503889369,0.8146596858638744
6,<function selu at 0x7ffb5a5c7420>,256,0.45,300,"[4096, 2048]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8466609343651476,0.8132635253054101
12,<function selu at 0x7ffb5a5c7420>,256,0.4,300,"[4096, 2048]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8466398621481906,0.8136125654450261
21,<function selu at 0x7ffb5a5c7420>,128,0.35,450,"[7500, 3750]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8463534159700202,0.8139616055846423
28,<function selu at 0x7ffb5a5c7420>,128,0.45,350,"[4096, 2048]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8459770114942529,0.8129144851657941
34,<function selu at 0x7ffb5a5c7420>,128,0.4,350,"[4096, 2048]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.8459770114942529,0.8129144851657941
