QSPRID	pchembl_value_Mean_Label	pchembl_value_Mean_Prediction	pchembl_value_Mean_ProbabilityClass_0	pchembl_value_Mean_ProbabilityClass_1	Fold
MonitoringTutorialDataset_0221	True	0	0.68326	0.31674	0.0
MonitoringTutorialDataset_2459	False	1	0.11284	0.88716	0.0
MonitoringTutorialDataset_1315	False	0	0.67341	0.32659	0.0
MonitoringTutorialDataset_1017	False	0	0.9789	0.0211	0.0
MonitoringTutorialDataset_1744	False	1	0.00115	0.99885	0.0
MonitoringTutorialDataset_4018	True	1	0.00353	0.99647	0.0
MonitoringTutorialDataset_2876	True	0	0.79571	0.20429	0.0
MonitoringTutorialDataset_2453	False	0	0.73467	0.26533	0.0
MonitoringTutorialDataset_2517	True	1	0.00055	0.99945	0.0
MonitoringTutorialDataset_3382	True	1	0.15561	0.84439	0.0
MonitoringTutorialDataset_3260	False	0	0.99642	0.00358	0.0
MonitoringTutorialDataset_3509	True	1	0.00422	0.99578	0.0
MonitoringTutorialDataset_3675	True	1	0.0073	0.9927	0.0
MonitoringTutorialDataset_1650	True	1	0.49763	0.50237	0.0
MonitoringTutorialDataset_1988	True	1	0.00849	0.99151	0.0
MonitoringTutorialDataset_2996	True	0	0.96531	0.03469	0.0
MonitoringTutorialDataset_0283	True	1	0.00176	0.99824	0.0
MonitoringTutorialDataset_0274	False	1	0.0055	0.9945	0.0
MonitoringTutorialDataset_0621	True	1	0.3902	0.6098	0.0
MonitoringTutorialDataset_1511	True	1	0.01866	0.98134	0.0
MonitoringTutorialDataset_0423	True	1	0.00024	0.99976	0.0
MonitoringTutorialDataset_2348	False	0	0.89191	0.10809	0.0
MonitoringTutorialDataset_1340	True	0	0.98339	0.01661	0.0
MonitoringTutorialDataset_1171	False	0	0.98053	0.01947	0.0
MonitoringTutorialDataset_2937	False	0	0.9775	0.0225	0.0
MonitoringTutorialDataset_0500	True	1	0.0003	0.9997	0.0
MonitoringTutorialDataset_1871	True	0	0.6965	0.3035	0.0
MonitoringTutorialDataset_3787	False	1	0.28517	0.71483	0.0
MonitoringTutorialDataset_0549	True	1	0.006	0.994	0.0
MonitoringTutorialDataset_0218	False	1	0.12459	0.87542	0.0
MonitoringTutorialDataset_0964	False	1	0.11473	0.88527	0.0
MonitoringTutorialDataset_3604	True	1	0.00013	0.99987	0.0
MonitoringTutorialDataset_2748	True	1	0.00342	0.99658	0.0
MonitoringTutorialDataset_1940	False	0	0.96041	0.03959	0.0
MonitoringTutorialDataset_2889	True	0	0.99194	0.00806	0.0
MonitoringTutorialDataset_2042	True	1	0.00416	0.99584	0.0
MonitoringTutorialDataset_2650	True	1	0.34827	0.65173	0.0
MonitoringTutorialDataset_1176	True	1	0.09559	0.90441	0.0
MonitoringTutorialDataset_2494	True	0	0.72111	0.27889	0.0
MonitoringTutorialDataset_0805	False	1	0.37575	0.62425	0.0
MonitoringTutorialDataset_2764	False	1	0.19776	0.80224	0.0
MonitoringTutorialDataset_2328	False	1	0.00522	0.99478	0.0
MonitoringTutorialDataset_1421	True	1	2e-05	0.99998	0.0
MonitoringTutorialDataset_1909	True	1	0.04059	0.95941	0.0
MonitoringTutorialDataset_1188	True	1	0.19283	0.80717	0.0
