QSPRID	pchembl_value_Mean_Label	pchembl_value_Mean_Prediction	pchembl_value_Mean_ProbabilityClass_0	pchembl_value_Mean_ProbabilityClass_1
MonitoringTutorialDataset_0599	False	0	0.99959	0.00041
MonitoringTutorialDataset_0752	True	0	0.89841	0.10159
MonitoringTutorialDataset_1954	True	1	3e-05	0.99997
MonitoringTutorialDataset_2928	True	1	0.00026	0.99974
MonitoringTutorialDataset_2512	True	1	5e-05	0.99995
MonitoringTutorialDataset_2289	True	1	0.21447	0.78553
MonitoringTutorialDataset_0682	True	1	0.06663	0.93337
MonitoringTutorialDataset_0325	False	1	0.0772	0.9228
MonitoringTutorialDataset_0166	True	1	1e-05	0.99999
MonitoringTutorialDataset_3389	True	1	0.00207	0.99793
MonitoringTutorialDataset_3572	True	1	4e-05	0.99996
MonitoringTutorialDataset_2606	True	1	1e-05	0.99999
MonitoringTutorialDataset_0109	True	1	0.06082	0.93918
MonitoringTutorialDataset_1006	False	1	0.23469	0.76531
MonitoringTutorialDataset_1061	False	0	0.99494	0.00506
MonitoringTutorialDataset_0149	True	1	0.00092	0.99908
MonitoringTutorialDataset_1569	False	0	0.99988	0.00012
MonitoringTutorialDataset_0298	True	0	0.76962	0.23038
MonitoringTutorialDataset_3706	True	1	1e-05	0.99999
MonitoringTutorialDataset_4073	True	1	0.10584	0.89416
MonitoringTutorialDataset_1034	True	1	0.00022	0.99978
MonitoringTutorialDataset_1962	False	0	0.99879	0.00121
MonitoringTutorialDataset_0179	False	0	0.98077	0.01923
MonitoringTutorialDataset_0033	False	0	0.99987	0.00013
MonitoringTutorialDataset_4015	True	0	0.99853	0.00147
MonitoringTutorialDataset_2817	False	0	0.8977	0.1023
MonitoringTutorialDataset_2389	False	0	0.99984	0.00016
MonitoringTutorialDataset_2174	True	1	0.0103	0.9897
MonitoringTutorialDataset_2965	True	1	0.00033	0.99967
MonitoringTutorialDataset_1192	True	1	0.00761	0.99239
MonitoringTutorialDataset_0555	True	0	0.96232	0.03768
MonitoringTutorialDataset_1960	True	0	0.77518	0.22482
MonitoringTutorialDataset_1064	False	0	0.9954	0.0046
MonitoringTutorialDataset_3727	False	0	0.96087	0.03913
MonitoringTutorialDataset_3483	True	1	0.00053	0.99947
MonitoringTutorialDataset_3825	True	0	0.85475	0.14525
MonitoringTutorialDataset_0229	True	1	0.00416	0.99584
MonitoringTutorialDataset_3768	True	1	0.03096	0.96904
MonitoringTutorialDataset_1163	True	0	0.95681	0.04319
MonitoringTutorialDataset_2828	True	0	0.78905	0.21095
MonitoringTutorialDataset_2005	True	1	0.00064	0.99936
MonitoringTutorialDataset_2380	False	0	0.99833	0.00167
MonitoringTutorialDataset_3237	False	1	1e-05	0.99999
MonitoringTutorialDataset_2631	True	1	0.00876	0.99124
MonitoringTutorialDataset_3293	False	0	0.99161	0.00839
MonitoringTutorialDataset_0096	True	1	0.00064	0.99936
MonitoringTutorialDataset_0501	True	1	0.0	1.0
MonitoringTutorialDataset_1185	False	0	0.99382	0.00618
MonitoringTutorialDataset_3522	True	1	4e-05	0.99996
MonitoringTutorialDataset_1593	True	1	0.0	1.0
MonitoringTutorialDataset_3575	False	0	0.99523	0.00477
MonitoringTutorialDataset_0881	False	1	0.00101	0.99899
MonitoringTutorialDataset_0132	True	1	0.07238	0.92762
MonitoringTutorialDataset_2252	False	1	0.03508	0.96492
MonitoringTutorialDataset_0527	True	1	3e-05	0.99997
MonitoringTutorialDataset_2022	True	0	0.71276	0.28724
MonitoringTutorialDataset_2531	False	0	0.99855	0.00145
MonitoringTutorialDataset_3802	True	1	0.00019	0.99981
MonitoringTutorialDataset_2478	True	0	0.6868	0.3132
MonitoringTutorialDataset_0305	True	1	0.11113	0.88887
MonitoringTutorialDataset_1398	False	0	0.91169	0.08831
MonitoringTutorialDataset_1769	False	0	0.96043	0.03957
MonitoringTutorialDataset_0308	True	1	0.00022	0.99978
MonitoringTutorialDataset_2113	False	1	0.03646	0.96354
MonitoringTutorialDataset_2672	False	0	0.87588	0.12412
MonitoringTutorialDataset_4012	True	1	0.0	1.0
MonitoringTutorialDataset_3704	False	1	0.13356	0.86644
MonitoringTutorialDataset_0802	False	1	0.42533	0.57467
MonitoringTutorialDataset_2721	True	1	1e-05	0.99999
MonitoringTutorialDataset_3276	False	1	0.02984	0.97016
MonitoringTutorialDataset_2341	True	0	0.91661	0.08339
MonitoringTutorialDataset_1882	False	0	0.88313	0.11687
MonitoringTutorialDataset_0196	False	1	0.01108	0.98892
MonitoringTutorialDataset_0366	True	1	0.01306	0.98694
MonitoringTutorialDataset_3838	True	1	3e-05	0.99997
MonitoringTutorialDataset_4035	False	1	0.16562	0.83438
MonitoringTutorialDataset_2528	True	1	0.0	1.0
MonitoringTutorialDataset_1204	True	0	0.77323	0.22677
MonitoringTutorialDataset_1783	True	1	0.0002	0.9998
MonitoringTutorialDataset_1110	False	0	0.99998	2e-05
MonitoringTutorialDataset_2232	False	0	0.98872	0.01128
MonitoringTutorialDataset_1220	True	1	0.00423	0.99577
MonitoringTutorialDataset_0314	False	0	0.99979	0.00021
MonitoringTutorialDataset_2629	False	1	0.00827	0.99173
MonitoringTutorialDataset_0184	False	0	0.99162	0.00838
MonitoringTutorialDataset_1641	False	0	0.98933	0.01067
MonitoringTutorialDataset_1618	False	1	0.18079	0.81921
MonitoringTutorialDataset_0461	False	0	0.99756	0.00244
MonitoringTutorialDataset_2430	False	0	0.99885	0.00115
MonitoringTutorialDataset_2948	True	1	0.00523	0.99477
MonitoringTutorialDataset_3579	False	1	3e-05	0.99997
MonitoringTutorialDataset_0315	False	0	0.99695	0.00305
MonitoringTutorialDataset_4081	True	1	0.30949	0.69051
MonitoringTutorialDataset_1047	True	1	0.14925	0.85075
MonitoringTutorialDataset_3642	True	1	0.02284	0.97716
MonitoringTutorialDataset_3869	True	0	0.99764	0.00236
MonitoringTutorialDataset_1104	True	1	0.02234	0.97766
MonitoringTutorialDataset_1566	True	1	0.01066	0.98934
MonitoringTutorialDataset_2823	False	1	0.00659	0.99341
MonitoringTutorialDataset_0869	True	1	0.00076	0.99924
MonitoringTutorialDataset_2550	True	1	1e-04	0.9999
MonitoringTutorialDataset_1289	True	1	0.41295	0.58705
