QSPRID	pchembl_value_Mean_Label	pchembl_value_Mean_Prediction	pchembl_value_Mean_ProbabilityClass_0	pchembl_value_Mean_ProbabilityClass_1	Fold
MonitoringTutorialDataset_0221	True	1	0.01445	0.98555	0.0
MonitoringTutorialDataset_3260	False	0	0.99945	0.00055	0.0
MonitoringTutorialDataset_3675	True	1	0.0	1.0	0.0
MonitoringTutorialDataset_3330	True	1	0.00456	0.99544	0.0
MonitoringTutorialDataset_3484	True	1	0.00199	0.99801	0.0
MonitoringTutorialDataset_0712	True	0	0.99028	0.00972	0.0
MonitoringTutorialDataset_0274	False	0	0.82861	0.17139	0.0
MonitoringTutorialDataset_2321	False	0	0.95115	0.04885	0.0
MonitoringTutorialDataset_0621	True	1	0.00056	0.99944	0.0
MonitoringTutorialDataset_0506	False	0	0.99066	0.00934	0.0
MonitoringTutorialDataset_1340	True	1	0.0024	0.9976	0.0
MonitoringTutorialDataset_1171	False	0	0.99844	0.00156	0.0
MonitoringTutorialDataset_0500	True	1	1e-05	0.99999	0.0
MonitoringTutorialDataset_1871	True	1	0.11823	0.88177	0.0
MonitoringTutorialDataset_2765	False	0	0.96299	0.03701	0.0
MonitoringTutorialDataset_0442	True	1	0.0	1.0	0.0
MonitoringTutorialDataset_0736	True	1	0.03279	0.96721	0.0
MonitoringTutorialDataset_2748	True	1	1e-05	0.99999	0.0
MonitoringTutorialDataset_1891	True	1	0.0	1.0	0.0
MonitoringTutorialDataset_3830	False	1	0.14063	0.85937	0.0
MonitoringTutorialDataset_1621	True	1	0.0	1.0	0.0
MonitoringTutorialDataset_2042	True	1	0.00046	0.99954	0.0
MonitoringTutorialDataset_2494	True	1	0.08349	0.91651	0.0
MonitoringTutorialDataset_0985	False	0	0.52301	0.47699	0.0
MonitoringTutorialDataset_1188	True	1	0.00113	0.99887	0.0
MonitoringTutorialDataset_2381	True	1	0.00017	0.99983	0.0
MonitoringTutorialDataset_0650	False	1	0.0	1.0	0.0
MonitoringTutorialDataset_1488	False	0	0.99703	0.00297	0.0
MonitoringTutorialDataset_2580	True	1	0.32241	0.67759	0.0
MonitoringTutorialDataset_0416	True	1	0.48525	0.51475	0.0
MonitoringTutorialDataset_2402	False	0	0.9899	0.0101	0.0
MonitoringTutorialDataset_1929	False	0	0.57612	0.42388	0.0
MonitoringTutorialDataset_0449	True	1	0.0009	0.9991	0.0
MonitoringTutorialDataset_2615	True	1	0.00958	0.99042	0.0
MonitoringTutorialDataset_1025	False	1	0.00125	0.99875	0.0
