QSPRID	pchembl_value_Mean_Label	pchembl_value_Mean_Prediction	pchembl_value_Mean_ProbabilityClass_0	pchembl_value_Mean_ProbabilityClass_1
MonitoringTutorialDataset_0599	False	0	0.99944	0.00056
MonitoringTutorialDataset_0752	True	1	0.16371	0.83629
MonitoringTutorialDataset_1954	True	1	0.0	1.0
MonitoringTutorialDataset_2928	True	1	0.0	1.0
MonitoringTutorialDataset_2512	True	1	0.0	1.0
MonitoringTutorialDataset_2289	True	1	0.00337	0.99663
MonitoringTutorialDataset_0682	True	1	0.00018	0.99982
MonitoringTutorialDataset_0325	False	1	0.00014	0.99986
MonitoringTutorialDataset_0166	True	1	0.0	1.0
MonitoringTutorialDataset_3389	True	1	3e-05	0.99997
MonitoringTutorialDataset_3572	True	1	0.0	1.0
MonitoringTutorialDataset_2606	True	1	0.0	1.0
MonitoringTutorialDataset_0109	True	1	9e-05	0.99991
MonitoringTutorialDataset_1006	False	1	0.00023	0.99977
MonitoringTutorialDataset_1061	False	0	0.91013	0.08987
MonitoringTutorialDataset_0149	True	1	0.0	1.0
MonitoringTutorialDataset_1569	False	0	0.9999	1e-04
MonitoringTutorialDataset_0298	True	1	0.00265	0.99735
MonitoringTutorialDataset_3706	True	1	0.0	1.0
MonitoringTutorialDataset_4073	True	1	1e-05	0.99999
MonitoringTutorialDataset_1034	True	1	0.0	1.0
MonitoringTutorialDataset_1962	False	0	0.99294	0.00706
MonitoringTutorialDataset_0179	False	0	0.97807	0.02193
MonitoringTutorialDataset_0033	False	0	0.99976	0.00024
MonitoringTutorialDataset_4015	True	0	0.9972	0.0028
MonitoringTutorialDataset_2817	False	1	0.01684	0.98316
MonitoringTutorialDataset_2389	False	0	0.99991	9e-05
MonitoringTutorialDataset_2174	True	1	5e-05	0.99995
MonitoringTutorialDataset_2965	True	1	0.0	1.0
MonitoringTutorialDataset_1192	True	1	0.00031	0.99969
MonitoringTutorialDataset_0555	True	1	0.07513	0.92487
MonitoringTutorialDataset_1960	True	1	0.0143	0.9857
MonitoringTutorialDataset_1064	False	0	0.99311	0.00689
MonitoringTutorialDataset_3727	False	0	0.92067	0.07933
MonitoringTutorialDataset_3483	True	1	1e-05	0.99999
MonitoringTutorialDataset_3825	True	1	0.00092	0.99908
MonitoringTutorialDataset_0229	True	1	4e-05	0.99996
MonitoringTutorialDataset_3768	True	1	0.00012	0.99988
MonitoringTutorialDataset_1163	True	1	0.00385	0.99615
MonitoringTutorialDataset_2828	True	1	0.02054	0.97946
MonitoringTutorialDataset_2005	True	1	1e-05	0.99999
MonitoringTutorialDataset_2380	False	0	0.99887	0.00113
MonitoringTutorialDataset_3237	False	1	0.0	1.0
MonitoringTutorialDataset_2631	True	1	5e-05	0.99995
MonitoringTutorialDataset_3293	False	0	0.98819	0.01181
MonitoringTutorialDataset_0096	True	1	0.0	1.0
MonitoringTutorialDataset_0501	True	1	0.0	1.0
MonitoringTutorialDataset_1185	False	0	0.9591	0.0409
MonitoringTutorialDataset_3522	True	1	0.0	1.0
MonitoringTutorialDataset_1593	True	1	0.0	1.0
MonitoringTutorialDataset_3575	False	0	0.96044	0.03956
MonitoringTutorialDataset_0881	False	1	0.0	1.0
MonitoringTutorialDataset_0132	True	1	0.00072	0.99928
MonitoringTutorialDataset_2252	False	1	0.00039	0.99961
MonitoringTutorialDataset_0527	True	1	0.0	1.0
MonitoringTutorialDataset_2022	True	1	0.15167	0.84833
MonitoringTutorialDataset_2531	False	0	0.99753	0.00247
